TissueType,ZT,Metabolite,Abundance,RelAbundance
CecalConts,0,Tyr-bMCA_23804,3912,7.600987040239376
CecalConts,0,Trp-bMCA_25122,4203,2.8235720907735096
CecalConts,4,Ala-CA_17790,38389,79.6997944650902
CecalConts,4,Ala-bMCA_17791,12607,29.632154189681515
CecalConts,4,Asn-CA_20646,6352,13.285923446977622
CecalConts,4,Gln-CA_21582,9849516,51.90757594306603
CecalConts,4,His-CA_22165,6631,100
CecalConts,4,Arg-CA_23368,3376,37.93684683672323
CecalConts,4,Phe-CA_22812,37119,28.74233413863594
CecalConts,4,Tyr-CA_23803,4639,80.38468203084388
CecalConts,4,Trp-CA_25121,98916,47.10824094182192
CecalConts,4,Ornithine-CA_20652,2358,15.960471097874645
CecalConts,4,Arg-DCA_22370,22679,30.76745668896094
CecalConts,4,Ser-CA_18843,3284,23.642908567314617
CecalConts,4,Val-CA_19625,203435,31.191832028530865
CecalConts,4,Thr-CA_19755,8205,45.26397087217962
CecalConts,4,Ile-Leu-CA_20580,141708,84.89779290181887
CecalConts,4,Ile-Leu-gMCA_20581,3244,31.751003229910935
CecalConts,4,Lys-CA_21586,32384,47.71193682411527
CecalConts,4,Lys-CA_21588,5879,10.17128027681661
CecalConts,4,Lys-bMCA_21589,58007,26.884092562810807
CecalConts,4,Lys-gMCA_21590,2687,4.949619614272294
CecalConts,4,Met-CA_21765,2977,34.507940187782545
CecalConts,4,Met-gMCA_21769,2662,20.469050365244136
CecalConts,4,Phe-bMCA_22813,2730,12.676448736998513
CecalConts,4,Arg-bMCA_23369,93390,76.01396723072791
CecalConts,4,Tyr-bMCA_23804,4817,9.359395340703752
CecalConts,4,Trp-bMCA_25122,3258,2.1887218348180095
CecalConts,8,Ala-CA_17790,15066,31.278676272136526
CecalConts,8,Ala-bMCA_17791,42545,100
CecalConts,8,Asn-CA_20646,47810,100
CecalConts,8,Gln-CA_21582,18975103,100
CecalConts,8,His-CA_22165,5484,82.70245815110843
CecalConts,8,Arg-CA_23368,0,0
CecalConts,8,Phe-CA_22812,129144,100
CecalConts,8,Tyr-CA_23803,5771,100
CecalConts,8,Trp-CA_25121,209976,100
CecalConts,8,Ornithine-CA_20652,14774,100
CecalConts,8,Arg-DCA_22370,73711,100
CecalConts,8,Ser-CA_18843,13890,100
CecalConts,8,Val-CA_19625,652206,100
CecalConts,8,Thr-CA_19755,15058,83.06945440503117
CecalConts,8,Ile-Leu-CA_20580,147863,88.58527642646601
CecalConts,8,Ile-Leu-gMCA_20581,5812,56.88558285210923
CecalConts,8,Lys-CA_21586,58360,85.98285057606742
CecalConts,8,Lys-CA_21588,57800,100
CecalConts,8,Lys-bMCA_21589,215767,100
CecalConts,8,Lys-gMCA_21590,54287,100
CecalConts,8,Met-CA_21765,4008,46.45879216413585
CecalConts,8,Met-gMCA_21769,13005,100
CecalConts,8,Phe-bMCA_22813,21536,100
CecalConts,8,Arg-bMCA_23369,69102,56.24496373892023
CecalConts,8,Tyr-bMCA_23804,51467,100
CecalConts,8,Trp-bMCA_25122,148854,100
CecalConts,12,Ala-CA_17790,48167,100
CecalConts,12,Ala-bMCA_17791,28260,66.42378657891645
CecalConts,12,Asn-CA_20646,34067,71.25496758000418
CecalConts,12,Gln-CA_21582,11403887,60.09921000165321
CecalConts,12,His-CA_22165,4744,71.54275373246871
CecalConts,12,Arg-CA_23368,8899,100
CecalConts,12,Phe-CA_22812,6596,5.107476924982965
CecalConts,12,Tyr-CA_23803,2423,41.98579102408594
CecalConts,12,Trp-CA_25121,18601,8.85863146264335
CecalConts,12,Ornithine-CA_20652,2916,19.73737647218086
CecalConts,12,Arg-DCA_22370,52670,71.45473538549199
CecalConts,12,Ser-CA_18843,10448,75.21958243340534
CecalConts,12,Val-CA_19625,586257,89.88831749477926
CecalConts,12,Thr-CA_19755,18127,100
CecalConts,12,Ile-Leu-CA_20580,166916,100
CecalConts,12,Ile-Leu-gMCA_20581,5141,50.31809728883234
CecalConts,12,Lys-CA_21586,67874,100
CecalConts,12,Lys-CA_21588,0,0
CecalConts,12,Lys-bMCA_21589,215388,99.82434756009954
CecalConts,12,Lys-gMCA_21590,6117,11.267891023633652
CecalConts,12,Met-CA_21765,8627,100
CecalConts,12,Met-gMCA_21769,12786,98.31603229527104
CecalConts,12,Phe-bMCA_22813,3407,15.820022288261516
CecalConts,12,Arg-bMCA_23369,122859,100
CecalConts,12,Tyr-bMCA_23804,3020,5.867837643538578
CecalConts,12,Trp-bMCA_25122,13193,8.8630470125089
CecalConts,16,Ala-CA_17790,2446,5.078165549027342
CecalConts,16,Ala-bMCA_17791,2334,5.485956046538959
CecalConts,16,Asn-CA_20646,3715.5,7.771386739175905
CecalConts,16,Gln-CA_21582,11980092,63.13584700963152
CecalConts,16,His-CA_22165,2398,36.163474589051425
CecalConts,16,Arg-CA_23368,0,0
CecalConts,16,Phe-CA_22812,12243.5,9.480502384934647
CecalConts,16,Tyr-CA_23803,0,0
CecalConts,16,Trp-CA_25121,3671,1.7482950432430373
CecalConts,16,Ornithine-CA_20652,0,0
CecalConts,16,Arg-DCA_22370,3682,4.995183893855734
CecalConts,16,Ser-CA_18843,4217.5,30.363570914326854
CecalConts,16,Val-CA_19625,128939.5,19.76975066160078
CecalConts,16,Thr-CA_19755,7637.5,42.13328184476195
CecalConts,16,Ile-Leu-CA_20580,128105.5,76.74848426753577
CecalConts,16,Ile-Leu-gMCA_20581,10217,100
CecalConts,16,Lys-CA_21586,0,0
CecalConts,16,Lys-CA_21588,0,0
CecalConts,16,Lys-bMCA_21589,0,0
CecalConts,16,Lys-gMCA_21590,0,0
CecalConts,16,Met-CA_21765,2978,34.51953170279356
CecalConts,16,Met-gMCA_21769,0,0
CecalConts,16,Phe-bMCA_22813,1687,7.833395245170877
CecalConts,16,Arg-bMCA_23369,1831,1.4903263090209102
CecalConts,16,Tyr-bMCA_23804,0,0
CecalConts,16,Trp-bMCA_25122,13865,9.31449608341059
CecalConts,20,Ala-CA_17790,3146,6.531442688977932
CecalConts,20,Ala-bMCA_17791,1755,4.125044070983664
CecalConts,20,Asn-CA_20646,2456,5.13700062748379
CecalConts,20,Gln-CA_21582,10260866,54.07541661302181
CecalConts,20,His-CA_22165,4503,67.90830945558739
CecalConts,20,Arg-CA_23368,0,0
CecalConts,20,Phe-CA_22812,6292,4.872080778046212
CecalConts,20,Tyr-CA_23803,1983,34.361462484837986
CecalConts,20,Trp-CA_25121,5475,2.607440850382901
CecalConts,20,Ornithine-CA_20652,0,0
CecalConts,20,Arg-DCA_22370,3674,4.9843306969109085
CecalConts,20,Ser-CA_18843,2958,21.295896328293736
CecalConts,20,Val-CA_19625,152095,23.320085985102867
CecalConts,20,Thr-CA_19755,3728,20.566006509626526
CecalConts,20,Ile-Leu-CA_20580,124787,74.76035850367849
CecalConts,20,Ile-Leu-gMCA_20581,2910,28.48194186160321
CecalConts,20,Lys-CA_21586,3115,4.589386215634852
CecalConts,20,Lys-CA_21588,0,0
CecalConts,20,Lys-bMCA_21589,0,0
CecalConts,20,Lys-gMCA_21590,0,0
CecalConts,20,Met-CA_21765,0,0
CecalConts,20,Met-gMCA_21769,0,0
CecalConts,20,Phe-bMCA_22813,0,0
CecalConts,20,Arg-bMCA_23369,0,0
CecalConts,20,Tyr-bMCA_23804,0,0
CecalConts,20,Trp-bMCA_25122,3082,2.0704851733913765
CecalConts,24,Ala-CA_17790,6194,12.859426578362779
CecalConts,24,Ala-bMCA_17791,5033,11.829827241744036
CecalConts,24,Asn-CA_20646,5324,11.135745659903785
CecalConts,24,Gln-CA_21582,18464849,97.31092895780328
CecalConts,24,His-CA_22165,2836,42.7688131503544
CecalConts,24,Arg-CA_23368,0,0
CecalConts,24,Phe-CA_22812,4953,3.835253670321501
CecalConts,24,Tyr-CA_23803,0,0
CecalConts,24,Trp-CA_25121,5043,2.4017030517773463
CecalConts,24,Ornithine-CA_20652,0,0
CecalConts,24,Arg-DCA_22370,6446,8.744963438292793
CecalConts,24,Ser-CA_18843,3945,28.401727861771057
CecalConts,24,Val-CA_19625,297443,45.60568286706961
CecalConts,24,Thr-CA_19755,4277,23.594637833066695
CecalConts,24,Ile-Leu-CA_20580,143251,85.82220997387908
CecalConts,24,Ile-Leu-gMCA_20581,3646,35.685622002544775
CecalConts,24,Lys-CA_21586,4624,6.812623390399858
CecalConts,24,Lys-CA_21588,0,0
CecalConts,24,Lys-bMCA_21589,4167,1.931249913100706
CecalConts,24,Lys-gMCA_21590,0,0
CecalConts,24,Met-CA_21765,3287,38.10130984119625
CecalConts,24,Met-gMCA_21769,2179,16.75509419454056
CecalConts,24,Phe-bMCA_22813,0,0
CecalConts,24,Arg-bMCA_23369,4090,3.3290194450549
CecalConts,24,Tyr-bMCA_23804,3912,7.600987040239376
CecalConts,24,Trp-bMCA_25122,4203,2.8235720907735096
Cecum,0,Ala-CA_17790,3744,31.820499745028048
Cecum,0,Ala-bMCA_17791,3150,72.09887846189059
Cecum,0,Asn-CA_20646,3484,36.832646157099056
Cecum,0,Gln-CA_21582,18671003,92.56133854649919
Cecum,0,His-CA_22165,0,0
Cecum,0,Arg-CA_23368,0,0
Cecum,0,Phe-CA_22812,6492,7.20580726796457
